,x,y,label,KMeans,SpectralClustering
626,30.95,22.65,6,3,10
627,30.3,23.1,6,3,10
628,29.6,23.15,6,3,10
629,29.35,22.55,6,3,10
630,29.2,23.85,6,3,10
631,30.75,24.0,6,3,10
632,30.95,24.15,6,3,10
633,31.45,23.7,6,3,10
634,31.95,23.15,6,3,10
635,32.55,22.05,6,3,10
636,32.6,22.55,6,3,10
637,33.25,22.25,6,3,10
638,33.65,21.9,6,3,10
639,33.5,21.3,6,3,10
640,33.1,20.75,6,3,10
641,33.8,20.4,6,3,10
642,33.85,20.0,6,3,10
643,34.15,19.3,6,3,10
644,34.85,18.85,6,3,10
645,35.3,18.55,6,3,10
646,35.4,19.35,6,3,10
647,34.55,19.75,6,3,10
648,35.05,20.0,6,3,10
649,35.95,19.85,6,3,10
650,36.35,20.6,6,3,10
651,35.5,20.55,6,3,10
652,34.45,20.65,6,3,10
653,34.4,21.25,6,3,10
654,35.0,21.05,6,3,10
655,35.75,21.3,6,3,10
656,35.05,21.5,6,3,10
657,34.6,22.05,6,3,10
658,34.2,21.75,6,3,10
659,36.25,21.95,6,3,10
660,35.7,22.3,6,3,10
661,35.5,22.9,6,3,10
662,35.85,23.25,6,3,10
663,36.3,23.8,6,3,10
664,35.45,24.1,6,3,10
665,34.9,23.5,6,3,10
666,34.2,22.9,6,3,10
667,33.85,23.3,6,3,10
668,33.25,23.35,6,3,10
669,32.45,23.7,6,3,10
670,33.6,23.9,6,3,10
671,34.25,23.95,6,3,10
672,34.25,24.1,6,3,10
673,35.4,24.7,6,3,10
674,35.15,25.3,6,3,10
675,34.4,24.9,6,3,10
676,33.7,24.85,6,3,10
677,32.25,24.45,6,3,10
678,32.5,24.7,6,3,10
679,31.45,24.45,6,3,10
680,31.55,25.2,6,3,10
681,31.05,25.0,6,3,10
682,30.25,24.3,6,3,10
683,29.8,24.8,6,3,10
684,29.6,25.5,6,3,10
685,29.7,26.05,6,3,10
686,30.5,25.5,6,3,10
687,30.65,26.0,6,3,10
688,31.25,26.05,6,3,10
689,31.45,26.95,6,3,10
690,30.75,26.9,6,3,10
691,30.65,27.15,6,3,10
692,31.25,27.85,6,3,10
693,31.85,27.75,6,3,10
694,32.7,28.2,6,3,10
695,33.25,27.55,6,3,10
696,32.4,27.1,6,3,10
697,32.15,26.65,6,3,10
698,32.35,25.95,6,3,10
699,32.95,25.5,6,3,10
700,33.85,26.05,6,3,10
701,33.05,26.5,6,3,10
702,33.65,27.0,6,3,10
703,34.1,27.35,6,3,10
704,34.2,27.95,6,3,10
705,34.65,26.85,6,3,10
706,35.25,26.0,6,3,10
707,35.7,26.15,6,3,10
708,34.4,25.6,6,3,10
709,21.3,20.8,1,5,11
710,20.15,20.9,1,5,11
711,19.2,21.35,1,5,11
712,19.1,21.85,1,5,11
713,18.45,22.8,1,5,11
714,18.75,22.95,1,5,11
715,19.4,23.0,1,5,11
716,19.55,22.25,1,5,11
717,19.8,21.85,1,5,11
718,20.5,21.85,1,5,11
719,21.45,21.45,1,5,11
720,21.7,21.9,1,5,11
721,21.4,22.3,1,5,11
722,21.0,22.6,1,5,11
723,21.15,22.95,1,5,11
724,20.5,22.85,1,5,11
725,19.75,23.65,1,5,11
726,19.2,23.7,1,5,11
727,18.45,24.35,1,5,11
728,20.65,23.85,1,5,11
729,20.65,24.3,1,5,11
730,19.7,24.6,1,5,11
731,20.15,25.05,1,5,11
732,22.15,25.1,1,5,11
733,21.6,24.65,1,5,11
734,21.7,23.8,1,5,11
735,21.9,23.65,1,5,11
736,22.55,23.5,1,5,11
737,22.55,24.3,1,5,11
738,23.3,24.45,1,5,11
739,24.25,24.35,1,5,11
740,23.8,25.25,1,5,11
741,23.4,23.8,1,5,11
742,22.9,23.2,1,5,11
743,22.3,22.8,1,5,11
744,22.2,22.4,1,5,11
745,23.1,21.7,1,5,11
746,22.85,21.9,1,5,11
747,22.65,21.1,1,5,11
748,23.15,22.6,1,5,11
749,24.1,21.9,1,5,11
750,24.7,22.2,1,5,11
751,24.3,22.6,1,5,11
752,24.15,23.3,1,5,11
753,23.9,23.45,1,5,11
754,5.2,2.15,5,2,13
755,6.35,1.95,5,2,13
756,6.75,2.3,5,2,13
757,5.9,2.4,5,2,13
758,5.4,2.7,5,2,13
759,4.85,2.9,5,2,13
760,4.85,3.35,5,2,13
761,5.15,3.45,5,2,13
762,5.7,3.45,5,2,13
763,6.2,3.0,5,2,13
764,6.2,3.2,5,2,13
765,7.65,2.15,5,2,13
766,7.2,2.75,5,2,13
767,6.75,3.2,5,2,13
768,6.75,3.55,5,2,13
769,6.65,3.8,5,2,13
770,5.8,4.0,5,2,13
771,4.95,4.05,5,2,13
772,5.1,4.35,5,2,13
773,5.7,4.45,5,2,13
774,5.45,4.85,5,2,13
775,6.7,4.8,5,2,13
776,6.55,5.05,5,2,13
777,7.2,4.9,5,2,13
778,6.2,4.25,5,2,13
779,7.1,4.3,5,2,13
780,7.85,4.5,5,2,13
781,7.6,4.15,5,2,13
782,7.25,3.55,5,2,13
783,7.8,3.35,5,2,13
784,8.05,2.75,5,2,13
785,8.5,3.25,5,2,13
786,8.1,3.55,5,2,13
787,8.15,4.0,5,2,13
