,x,y,label,KMeans,SpectralClustering
117,8.45,17.2,2,1,7
118,10.05,17.2,2,1,7
119,10.4,16.75,2,1,7
120,8.6,20.9,2,1,7
121,8.65,21.3,2,1,7
122,8.65,21.9,2,1,7
123,8.65,22.5,2,1,7
124,8.95,22.8,2,1,7
125,9.95,22.65,2,1,7
126,8.95,22.2,2,1,7
127,9.65,21.9,2,1,7
128,10.55,22.3,2,1,7
129,10.9,22.85,2,1,7
130,11.35,23.45,2,6,7
131,12.05,23.4,2,6,7
132,12.3,22.75,2,1,7
133,11.7,22.15,2,1,7
134,11.15,22.05,2,1,7
135,10.85,21.5,2,1,7
136,10.85,21.05,2,1,7
137,9.6,21.3,2,1,7
138,9.85,20.7,2,1,7
139,9.35,20.6,2,1,7
140,9.25,19.65,2,1,7
141,9.95,19.8,2,1,7
142,10.7,20.35,2,1,7
143,11.3,20.7,2,1,7
144,12.35,21.6,2,1,7
145,13.1,21.3,2,1,7
146,12.85,20.75,2,1,7
147,12.0,20.0,2,1,7
148,11.0,19.85,2,1,7
149,10.35,19.0,2,1,7
150,9.9,18.65,2,1,7
151,10.6,18.15,2,1,7
152,11.4,18.3,2,1,7
153,11.4,19.25,2,1,7
154,12.35,18.8,2,1,7
155,12.8,19.75,2,1,7
156,12.15,18.1,2,1,7
157,11.05,17.5,2,1,7
158,11.95,17.25,2,1,7
159,12.25,17.5,2,1,7
160,13.05,17.4,2,1,7
161,13.75,18.15,2,1,7
162,13.5,18.65,2,1,7
163,13.65,19.25,2,1,7
164,14.0,19.9,2,1,7
165,15.2,18.2,2,1,7
166,15.5,17.15,2,1,7
167,13.9,17.1,2,1,7
168,13.75,16.6,2,1,7
169,12.15,16.4,2,1,7
170,7.8,13.7,7,1,10
171,8.85,13.35,7,2,10
172,9.0,12.7,7,2,10
173,9.7,12.1,7,2,10
174,8.05,12.9,7,2,10
175,7.7,13.25,7,2,10
176,6.8,13.2,7,2,10
177,6.6,13.45,7,2,10
178,6.2,12.55,7,2,10
179,5.4,12.85,7,2,10
180,5.7,12.25,7,2,10
181,5.2,11.9,7,2,10
182,5.15,11.35,7,2,10
183,5.85,11.2,7,2,10
184,6.1,11.75,7,2,10
185,7.0,12.35,7,2,10
186,7.05,12.45,7,2,10
187,7.9,12.5,7,2,10
188,8.55,12.1,7,2,10
189,7.85,11.85,7,2,10
190,7.1,11.95,7,2,10
191,6.9,11.5,7,2,10
192,6.85,10.9,7,2,10
193,6.4,10.7,7,2,10
194,5.9,10.3,7,2,10
195,6.4,10.25,7,2,10
196,7.05,10.05,7,2,10
197,7.35,10.5,7,2,10
198,7.65,11.1,7,2,10
199,8.1,11.2,7,2,10
200,8.8,11.4,7,2,10
201,8.3,10.55,7,2,10
202,9.0,10.9,7,2,10
203,9.35,10.5,7,2,10
204,10.15,11.0,4,2,10
205,10.4,10.55,4,2,10
206,10.9,10.0,4,2,8
207,11.55,10.2,4,2,8
208,11.75,10.85,4,2,8
209,10.1,8.65,4,2,8
210,11.05,9.1,4,2,8
211,11.85,9.8,4,2,8
212,12.85,10.65,4,2,8
213,12.9,11.7,4,2,8
214,13.6,11.1,4,2,8
215,14.05,11.75,4,2,8
216,14.5,11.8,4,2,8
217,14.3,12.45,4,2,8
218,17.0,12.9,4,4,8
219,15.8,12.6,4,4,8
220,15.85,12.0,4,4,8
221,16.7,12.2,4,4,8
222,16.25,11.7,4,4,8
223,15.55,11.15,4,4,8
224,14.8,11.35,4,4,8
225,14.45,10.75,4,2,8
226,13.75,10.45,4,2,8
227,12.8,10.1,4,2,8
228,13.15,9.8,4,2,8
229,12.45,9.3,4,2,8
230,11.8,8.95,4,2,8
231,11.1,8.45,4,2,8
232,10.35,7.7,4,2,8
233,10.1,6.75,4,2,8
234,11.3,7.95,4,2,8
235,12.35,8.45,4,2,8
236,13.1,8.95,4,2,8
237,13.2,9.35,4,2,8
238,14.1,10.05,4,2,8
239,11.5,7.5,4,2,8
240,11.35,6.9,4,2,8
241,11.95,6.75,4,2,8
242,12.4,7.1,4,2,8
243,12.25,7.6,4,2,8
244,12.95,7.6,4,2,8
245,13.45,7.95,4,2,8
246,13.35,8.25,4,2,8
247,13.75,9.0,4,2,8
248,14.3,9.3,4,2,8
249,14.85,9.55,4,4,8
250,15.1,10.25,4,4,8
251,15.45,10.55,4,4,8
252,16.35,10.85,4,4,8
253,16.75,11.5,4,4,8
254,16.25,10.2,4,4,8
255,15.4,10.1,4,4,8
256,15.45,9.7,4,4,8
257,15.15,9.3,4,4,8
258,15.25,8.65,4,4,8
259,15.55,8.2,4,4,8
260,14.25,8.7,4,2,8
261,14.25,8.25,4,2,8
262,15.05,7.8,4,4,8
263,14.3,7.5,4,2,8
264,13.55,7.45,4,2,8
265,14.3,6.95,4,4,8
266,13.95,6.7,4,2,8
267,13.05,6.95,4,2,8
268,13.05,6.2,4,2,8
269,11.55,6.3,4,2,8
270,10.8,5.85,4,2,8
271,10.6,5.05,4,2,8
272,11.35,5.55,4,2,8
273,12.15,5.4,4,2,8
274,12.4,5.8,4,2,8
275,12.8,5.7,4,2,8
276,13.65,5.9,4,2,8
277,13.9,5.3,4,2,8
278,13.1,5.1,4,2,8
279,12.55,4.9,4,2,8
280,11.5,4.75,4,2,8
281,11.35,4.05,4,2,8
282,12.4,4.35,4,2,8
283,11.75,3.45,4,2,8
284,12.65,3.7,4,2,8
285,13.4,4.35,4,2,8
286,13.9,4.95,4,2,8
287,12.75,3.0,4,2,8
288,13.55,3.15,4,2,8
289,13.7,3.65,4,2,8
290,14.1,4.1,4,2,8
291,14.65,5.05,4,4,8
292,14.35,5.75,4,4,8
293,14.5,6.55,4,4,8
294,15.15,7.1,4,4,8
295,13.6,2.55,4,2,8
296,14.45,2.4,4,4,8
297,14.6,3.05,4,4,8
298,15.0,3.4,4,4,8
299,15.25,3.5,4,4,8
300,14.7,4.1,4,4,8
301,14.7,4.5,4,4,8
302,15.25,2.7,4,4,8
303,15.65,2.05,4,4,8
304,15.95,2.8,4,4,8
305,16.1,3.55,4,4,8
306,15.9,4.0,4,4,8
307,15.6,4.75,4,4,8
308,15.55,5.05,4,4,8
309,15.35,5.5,4,4,8
310,15.15,5.95,4,4,8
311,15.5,6.75,4,4,8
312,15.7,6.35,4,4,8
313,16.2,5.9,4,4,8
314,16.35,5.35,4,4,8
315,16.2,4.55,4,4,8
316,16.55,4.2,4,4,8
317,16.95,4.75,4,4,8
318,17.05,5.1,4,4,8
319,17.3,4.8,4,4,8
320,17.3,4.15,4,4,8
321,17.6,4.3,4,4,8
322,17.05,3.7,4,4,8
323,17.25,3.05,4,4,8
324,16.65,2.8,4,4,8
325,16.55,2.15,4,4,8
326,17.2,2.05,4,4,8
327,18.15,1.95,4,4,8
328,18.05,2.45,4,4,8
329,18.15,3.05,4,4,8
330,18.6,3.45,4,4,8
331,18.4,3.6,4,4,8
332,18.85,3.2,4,4,8
333,19.1,2.65,4,4,8
334,19.45,2.65,4,4,8
335,19.0,2.1,4,4,8
336,19.9,2.05,4,4,8
337,20.45,2.8,4,4,8
338,19.8,3.25,4,4,8
339,19.45,3.9,4,4,8
340,18.65,4.2,4,4,8
341,18.4,4.6,4,4,8
342,18.65,4.75,4,4,8
343,18.75,5.15,4,4,8
344,19.1,4.55,4,4,8
345,17.9,5.4,4,4,8
346,17.65,5.7,4,4,8
347,17.05,6.05,4,4,8
348,17.4,6.5,4,4,8
349,16.6,6.85,4,4,8
350,15.7,7.15,4,4,8
351,15.75,7.75,4,4,8
352,16.6,7.95,4,4,8
353,20.4,3.4,4,4,8
354,20.7,3.45,4,4,8
355,21.15,2.85,4,4,8
356,21.75,2.65,4,4,8
357,22.0,3.25,4,4,8
358,22.2,3.5,4,4,8
359,21.45,3.75,4,4,8
360,21.1,4.05,4,4,8
361,20.15,4.3,4,4,8
362,20.8,4.7,4,4,8
363,20.7,5.15,4,4,8
364,19.75,5.05,4,4,8
365,19.85,5.5,4,4,8
366,20.4,5.65,4,4,8
367,20.55,5.75,4,4,8
368,18.7,5.75,4,4,8
369,19.25,5.95,4,4,8
370,18.4,6.0,4,4,8
371,18.45,6.6,4,4,8
372,17.65,7.05,4,4,8
373,16.7,7.4,4,4,8
374,18.65,7.3,4,4,8
375,18.05,7.35,4,4,8
376,17.85,7.75,4,4,8
377,17.5,8.25,4,4,8
378,17.15,8.6,4,4,8
379,17.05,9.0,4,4,8
380,16.4,8.7,4,4,8
381,16.05,8.95,4,4,8
382,16.05,9.6,4,4,8
383,16.5,9.75,4,4,8
384,17.25,9.6,4,4,8
385,17.6,9.9,4,4,8
386,17.8,9.3,4,4,8
387,18.0,8.55,4,4,8
388,18.8,8.1,4,4,8
389,18.8,8.35,4,4,8
390,19.4,7.6,4,4,8
391,19.25,6.6,4,4,8
392,20.05,6.95,4,4,8
393,19.8,7.5,4,4,8
394,20.05,6.35,4,4,8
395,21.15,5.7,4,4,8
396,21.65,4.85,4,4,8
397,22.15,4.35,4,4,8
398,23.05,3.35,4,4,8
399,23.05,3.8,4,4,8
400,23.15,4.4,4,4,8
401,22.5,4.75,4,4,8
402,22.15,5.2,4,4,8
403,24.15,4.55,4,4,8
404,23.5,5.05,4,4,8
405,23.1,5.3,4,4,8
406,23.0,5.75,4,4,8
407,22.2,5.75,4,4,8
408,21.85,6.2,4,4,8
409,20.75,6.55,4,4,8
410,21.0,7.15,4,4,8
411,20.75,7.65,4,4,8
412,20.0,8.2,4,4,8
413,19.5,8.65,4,4,8
414,18.85,9.05,4,4,8
415,18.75,9.55,4,4,8
416,18.6,10.0,4,4,8
417,16.95,10.35,4,4,8
418,17.35,10.85,4,4,8
419,18.0,10.65,4,4,8
420,18.5,10.55,4,4,8
421,18.1,11.1,4,4,8
422,17.55,11.3,4,4,8
423,17.95,11.9,4,4,8
424,18.3,12.0,4,4,8
425,18.0,12.5,4,4,8
426,19.0,11.65,4,4,8
427,19.5,11.05,4,4,8
428,19.45,10.55,4,4,8
429,19.4,9.65,4,4,8
430,20.1,9.4,4,4,8
431,20.05,9.95,4,4,8
432,20.05,10.2,4,4,8
433,19.35,12.2,4,4,8
434,19.2,12.25,4,4,8
435,20.05,11.6,4,4,8
436,20.6,11.15,4,4,8
437,20.7,10.65,4,4,8
438,21.3,11.65,4,4,8
439,21.8,11.15,4,4,8
440,21.85,10.7,4,4,8
441,21.65,10.05,4,4,8
442,20.95,10.2,4,4,8
443,20.9,9.7,4,4,8
444,21.65,9.45,4,4,8
445,21.2,9.25,4,4,8
446,20.75,8.75,4,4,8
447,20.55,8.75,4,4,8
448,21.1,8.0,4,4,8
449,21.65,8.65,4,4,8
450,21.75,8.2,4,4,8
451,21.95,7.55,4,4,8
452,22.0,6.75,4,4,8
453,22.8,6.45,4,4,8
454,22.65,6.65,4,4,8
455,22.75,7.05,4,4,8
456,23.0,7.35,4,4,8
457,22.55,7.9,4,4,8
458,22.2,8.7,4,4,8
459,22.9,8.45,4,4,8
460,22.35,9.2,4,4,8
461,22.75,9.35,4,4,8
462,22.4,10.05,4,4,8
463,23.05,10.9,4,4,8
464,23.3,9.85,4,4,8
465,23.95,9.8,4,4,8
466,23.65,9.1,4,4,8
467,23.7,8.85,4,4,8
468,24.25,8.25,4,4,8
469,24.85,7.95,4,4,8
470,23.5,7.85,4,4,8
471,23.85,7.35,4,4,8
472,23.95,6.9,4,4,8
473,23.65,6.5,4,4,8
474,23.6,5.7,4,4,8
475,24.3,5.65,4,4,8
476,24.8,6.4,4,4,8
477,34.05,3.5,3,0,9
478,33.05,3.85,3,0,9
479,32.0,3.8,3,0,9
480,31.9,4.4,3,0,9
481,31.05,4.75,3,0,9
482,30.4,5.65,3,0,9
483,30.75,6.1,3,0,9
484,30.0,6.7,3,0,9
485,30.1,7.4,3,0,9
486,29.5,8.15,3,0,9
487,30.75,8.0,3,0,9
488,30.85,7.35,3,0,9
489,31.5,6.75,3,0,9
490,31.75,5.95,3,0,9
491,32.35,6.45,3,0,9
492,32.8,6.0,3,0,9
493,32.05,5.1,3,0,9
494,32.8,4.8,3,0,9
495,32.65,4.4,3,0,9
496,33.65,4.6,3,0,9
497,33.05,5.15,3,0,9
498,33.6,5.45,3,0,9
499,34.5,5.05,3,0,9
500,34.9,4.65,3,0,9
501,35.45,4.1,3,0,9
502,34.6,4.05,3,0,9
503,34.2,4.2,3,0,9
504,36.3,5.2,3,0,9
505,35.55,5.35,3,0,9
506,35.95,6.05,3,0,9
507,34.8,5.85,3,0,9
508,33.7,6.15,3,0,9
509,33.95,6.6,3,0,9
510,33.7,7.05,3,0,9
511,32.75,7.1,3,0,9
512,32.3,7.65,3,0,9
513,33.0,7.9,3,0,9
514,31.95,8.15,3,0,9
515,31.15,8.65,3,0,9
516,30.35,8.85,3,0,9
517,29.85,9.0,3,0,9
518,30.7,9.15,3,0,9
519,29.7,9.9,3,0,9
520,30.45,9.95,3,0,9
521,30.95,9.85,3,0,9
522,31.8,9.45,3,0,9
523,32.45,8.8,3,0,9
524,33.55,8.6,3,0,9
525,34.35,7.7,3,0,9
526,34.7,8.0,3,0,9
527,34.6,7.25,3,0,9
528,35.0,6.8,3,0,9
529,35.5,7.35,3,0,9
530,36.1,7.5,3,0,9
531,36.55,7.0,3,0,9
532,36.0,8.2,3,0,9
533,35.35,8.05,3,0,9
534,36.55,8.65,3,0,9
535,36.4,9.1,3,0,9
536,35.5,9.1,3,0,9
537,34.55,8.85,3,0,9
538,35.25,9.4,3,0,9
539,34.4,9.5,3,0,9
540,33.5,9.3,3,0,9
541,33.85,9.8,3,0,9
542,32.5,9.65,3,0,9
543,32.3,10.25,3,0,9
544,33.3,10.3,3,0,9
545,31.6,10.5,3,0,9
546,30.6,10.5,3,0,9
547,30.4,11.1,3,0,9
548,30.9,11.45,3,0,9
549,30.7,11.65,3,0,9
550,30.4,12.05,3,0,9
551,31.2,12.0,3,0,9
552,31.95,11.35,3,0,9
553,31.65,11.05,3,0,9
554,32.95,11.15,3,0,9
555,32.65,11.7,3,0,9
556,32.25,12.25,3,0,9
557,32.05,12.25,3,0,9
558,31.3,12.7,3,0,9
559,31.95,12.95,3,0,9
560,32.75,13.1,3,0,9
561,33.15,13.2,3,0,9
562,33.1,12.75,3,0,9
563,33.15,12.1,3,0,9
564,34.3,11.75,3,0,9
565,34.0,10.85,3,0,9
566,34.65,11.0,3,0,9
567,34.8,10.1,3,0,9
568,35.65,9.85,3,0,9
569,36.35,10.0,3,0,9
570,35.55,10.75,3,0,9
571,35.8,11.55,3,0,9
572,35.2,11.75,3,0,9
573,34.7,11.75,3,0,9
574,34.95,12.75,3,0,9
575,34.05,12.55,3,0,9
576,34.05,13.05,3,0,9
577,33.25,13.7,3,0,9
578,33.2,14.15,3,0,9
579,33.25,14.7,6,0,9
580,33.0,15.15,6,0,9
581,32.95,15.65,6,3,12
582,32.6,16.15,6,3,12
583,32.45,16.75,6,3,12
584,32.65,17.05,6,3,12
585,32.75,17.3,6,3,12
586,31.75,17.2,6,3,12
587,31.7,17.65,6,3,12
588,31.0,17.5,6,3,12
589,31.15,17.9,6,3,12
590,30.45,18.05,6,3,12
591,30.05,18.8,6,3,12
592,30.55,18.8,6,3,12
593,30.5,19.3,6,3,12
594,30.25,19.4,6,3,12
595,29.6,19.85,6,3,12
596,29.15,20.55,6,3,12
597,30.25,20.45,6,3,12
598,30.7,20.05,6,3,12
599,31.0,19.9,6,3,12
600,31.55,19.65,6,3,12
601,31.5,18.55,6,3,12
602,32.05,18.6,6,3,12
603,31.95,19.1,6,3,12
604,32.6,18.35,6,3,12
605,32.85,17.95,6,3,12
606,33.45,17.45,6,3,12
607,33.7,17.0,6,3,12
608,34.25,17.35,6,3,12
609,34.3,18.05,6,3,12
610,33.85,18.4,6,3,12
611,33.05,18.85,6,3,12
612,33.25,18.95,6,3,12
613,32.8,19.15,6,3,12
614,32.3,19.85,6,3,12
615,32.8,20.0,6,3,12
616,31.75,20.25,6,3,12
617,31.75,20.75,6,3,12
618,32.1,21.15,6,3,12
619,31.55,21.6,6,3,12
620,30.65,21.3,6,3,12
621,29.95,21.6,6,3,12
622,29.5,21.6,6,3,12
623,30.35,22.05,6,3,12
624,31.05,22.0,6,3,12
625,31.55,22.2,6,3,12
626,30.95,22.65,6,3,12
627,30.3,23.1,6,3,12
628,29.6,23.15,6,3,12
629,29.35,22.55,6,3,12
630,29.2,23.85,6,3,12
631,30.75,24.0,6,3,12
632,30.95,24.15,6,3,12
633,31.45,23.7,6,3,12
634,31.95,23.15,6,3,12
635,32.55,22.05,6,3,12
636,32.6,22.55,6,3,12
637,33.25,22.25,6,3,12
638,33.65,21.9,6,3,12
639,33.5,21.3,6,3,12
640,33.1,20.75,6,3,12
641,33.8,20.4,6,3,12
642,33.85,20.0,6,3,12
643,34.15,19.3,6,3,12
644,34.85,18.85,6,3,12
645,35.3,18.55,6,3,12
646,35.4,19.35,6,3,12
647,34.55,19.75,6,3,12
648,35.05,20.0,6,3,12
649,35.95,19.85,6,3,12
650,36.35,20.6,6,3,12
651,35.5,20.55,6,3,12
652,34.45,20.65,6,3,12
653,34.4,21.25,6,3,12
654,35.0,21.05,6,3,12
655,35.75,21.3,6,3,12
656,35.05,21.5,6,3,12
657,34.6,22.05,6,3,12
658,34.2,21.75,6,3,12
659,36.25,21.95,6,3,12
660,35.7,22.3,6,3,12
661,35.5,22.9,6,3,12
662,35.85,23.25,6,3,12
663,36.3,23.8,6,3,12
664,35.45,24.1,6,3,12
665,34.9,23.5,6,3,12
666,34.2,22.9,6,3,12
667,33.85,23.3,6,3,12
668,33.25,23.35,6,3,12
669,32.45,23.7,6,3,12
670,33.6,23.9,6,3,12
671,34.25,23.95,6,3,12
672,34.25,24.1,6,3,12
673,35.4,24.7,6,3,12
674,35.15,25.3,6,3,12
675,34.4,24.9,6,3,12
676,33.7,24.85,6,3,12
677,32.25,24.45,6,3,12
678,32.5,24.7,6,3,12
679,31.45,24.45,6,3,12
680,31.55,25.2,6,3,12
681,31.05,25.0,6,3,12
682,30.25,24.3,6,3,12
683,29.8,24.8,6,3,12
684,29.6,25.5,6,3,12
685,29.7,26.05,6,3,12
686,30.5,25.5,6,3,12
687,30.65,26.0,6,3,12
688,31.25,26.05,6,3,12
689,31.45,26.95,6,3,12
690,30.75,26.9,6,3,12
691,30.65,27.15,6,3,12
692,31.25,27.85,6,3,12
693,31.85,27.75,6,3,12
694,32.7,28.2,6,3,12
695,33.25,27.55,6,3,12
696,32.4,27.1,6,3,12
697,32.15,26.65,6,3,12
698,32.35,25.95,6,3,12
699,32.95,25.5,6,3,12
700,33.85,26.05,6,3,12
701,33.05,26.5,6,3,12
702,33.65,27.0,6,3,12
703,34.1,27.35,6,3,12
704,34.2,27.95,6,3,12
705,34.65,26.85,6,3,12
706,35.25,26.0,6,3,12
707,35.7,26.15,6,3,12
708,34.4,25.6,6,3,12
709,21.3,20.8,1,5,11
710,20.15,20.9,1,5,11
711,19.2,21.35,1,5,11
712,19.1,21.85,1,5,11
713,18.45,22.8,1,5,11
714,18.75,22.95,1,5,11
715,19.4,23.0,1,5,11
716,19.55,22.25,1,5,11
717,19.8,21.85,1,5,11
718,20.5,21.85,1,5,11
719,21.45,21.45,1,5,11
720,21.7,21.9,1,5,11
721,21.4,22.3,1,5,11
722,21.0,22.6,1,5,11
723,21.15,22.95,1,5,11
724,20.5,22.85,1,5,11
725,19.75,23.65,1,5,11
726,19.2,23.7,1,5,11
727,18.45,24.35,1,5,11
728,20.65,23.85,1,5,11
729,20.65,24.3,1,5,11
730,19.7,24.6,1,5,11
731,20.15,25.05,1,5,11
732,22.15,25.1,1,5,11
733,21.6,24.65,1,5,11
734,21.7,23.8,1,5,11
735,21.9,23.65,1,5,11
736,22.55,23.5,1,5,11
737,22.55,24.3,1,5,11
738,23.3,24.45,1,5,11
739,24.25,24.35,1,5,11
740,23.8,25.25,1,5,11
741,23.4,23.8,1,5,11
742,22.9,23.2,1,5,11
743,22.3,22.8,1,5,11
744,22.2,22.4,1,5,11
745,23.1,21.7,1,5,11
746,22.85,21.9,1,5,11
747,22.65,21.1,1,5,11
748,23.15,22.6,1,5,11
749,24.1,21.9,1,5,11
750,24.7,22.2,1,5,11
751,24.3,22.6,1,5,11
752,24.15,23.3,1,5,11
753,23.9,23.45,1,5,11
754,5.2,2.15,5,2,13
755,6.35,1.95,5,2,13
756,6.75,2.3,5,2,13
757,5.9,2.4,5,2,13
758,5.4,2.7,5,2,13
759,4.85,2.9,5,2,13
760,4.85,3.35,5,2,13
761,5.15,3.45,5,2,13
762,5.7,3.45,5,2,13
763,6.2,3.0,5,2,13
764,6.2,3.2,5,2,13
765,7.65,2.15,5,2,13
766,7.2,2.75,5,2,13
767,6.75,3.2,5,2,13
768,6.75,3.55,5,2,13
769,6.65,3.8,5,2,13
770,5.8,4.0,5,2,13
771,4.95,4.05,5,2,13
772,5.1,4.35,5,2,13
773,5.7,4.45,5,2,13
774,5.45,4.85,5,2,13
775,6.7,4.8,5,2,13
776,6.55,5.05,5,2,13
777,7.2,4.9,5,2,13
778,6.2,4.25,5,2,13
779,7.1,4.3,5,2,13
780,7.85,4.5,5,2,13
781,7.6,4.15,5,2,13
782,7.25,3.55,5,2,13
783,7.8,3.35,5,2,13
784,8.05,2.75,5,2,13
785,8.5,3.25,5,2,13
786,8.1,3.55,5,2,13
787,8.15,4.0,5,2,13
